Branch No,Sending End,Receiving End,R (ohms),X (ohms),PL (kW),QL (kVAR)
1,0,1,0.0922,0.0477,100,60
2,1,2,0.493,0.2511,90,40
3,2,3,0.366,0.1864,120,80
4,3,4,0.3811,0.1941,60,30
5,4,5,0.819,0.707,60,20
6,5,6,0.1872,0.6188,200,100
7,6,7,1.7114,1.2351,200,100
8,7,8,1.03,0.74,60,20
9,8,9,1.04,0.74,60,20
10,9,10,0.1966,0.065,45,10
11,10,11,0.3744,0.1238,60,20
12,11,12,1.468,1.155,60,20
13,12,13,0.5416,0.7129,120,35
14,13,14,0.591,0.526,60,10
15,14,15,0.7463,0.545,60,20
16,15,16,1.289,1.721,60,20
17,16,17,0.732,0.574,90,40
18,17,18,0.164,0.1565,90,40
19,18,19,1.5042,1.3554,90,40
20,19,20,0.4095,0.4784,90,40
21,20,21,0.7089,0.9373,90,40
22,21,22,0.4512,0.3083,90,40
23,22,23,0.898,0.7091,420,200
24,23,24,0.896,0.7011,420,200
25,24,25,0.203,0.1034,60,25
26,25,26,0.2842,0.1447,60,25
27,26,27,1.059,0.9337,60,20
28,27,28,0.8042,0.7006,120,70
29,28,29,0.5075,0.2585,200,600
30,29,30,0.9744,0.963,150,70
31,30,31,0.3105,0.3619,210,100
32,31,32,0.341,0.5302,60,40
